Log Matlab com RI-PMI-CQI

>> EndToEndCSIFeedback
Number of CSI-RS ports: 8.

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at -5dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). Using initial CSI. CSI-RS transmission. 
(75.50%) NSlot=150: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(76.00%) NSlot=151: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(76.50%) NSlot=152: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=140.
(77.00%) NSlot=153: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(77.50%) NSlot=154: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(78.00%) NSlot=155: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(78.50%) NSlot=156: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(79.00%) NSlot=157: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(79.50%) NSlot=158: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(80.00%) NSlot=159: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(80.50%) NSlot=160: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(81.00%) NSlot=161: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(81.50%) NSlot=162: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=150.
(82.00%) NSlot=163: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(82.50%) NSlot=164: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(83.00%) NSlot=165: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(83.50%) NSlot=166: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(84.00%) NSlot=167: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(84.50%) NSlot=168: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(85.00%) NSlot=169: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(85.50%) NSlot=170: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(86.00%) NSlot=171: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(86.50%) NSlot=172: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=160.
(87.00%) NSlot=173: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(87.50%) NSlot=174: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(88.00%) NSlot=175: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(88.50%) NSlot=176: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(89.00%) NSlot=177: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(89.50%) NSlot=178: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(90.00%) NSlot=179: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(90.50%) NSlot=180: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(91.00%) NSlot=181: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(91.50%) NSlot=182: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=170.
(92.00%) NSlot=183: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(92.50%) NSlot=184: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(93.00%) NSlot=185: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(93.50%) NSlot=186: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(94.00%) NSlot=187: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(94.50%) NSlot=188: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(95.00%) NSlot=189: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
